"age","attitude","points","gender","deep","surf","stra"
53,3.7,25,"F",3.75,2.58333333333333,3.375
55,3.1,12,"M",2.875,3.16666666666667,2.75
49,2.5,24,"F",3.875,2.25,3.625
53,3.5,10,"M",3.5,2.25,3.125
49,3.7,22,"M",3.75,2.83333333333333,3.625
38,3.8,21,"F",4.875,2.41666666666667,3.625
50,3.5,21,"M",4.25,1.91666666666667,2.25
37,2.9,31,"F",3.5,2.83333333333333,4
37,3.8,24,"M",4.5,2.16666666666667,4.25
42,2.1,26,"F",4,3,3.5
37,3.9,31,"M",3.5,2.66666666666667,3.625
34,3.8,31,"F",3.75,2.41666666666667,4.75
34,2.4,23,"F",4.375,2.25,3.625
34,3,25,"F",3.5,2.75,3.5
35,2.6,21,"M",4.375,2.33333333333333,1.75
33,4.1,31,"F",3.5,2.33333333333333,3.875
32,2.6,20,"F",4.125,2.91666666666667,1.375
44,2.6,22,"F",3.625,2.5,3.25
29,1.7,9,"M",4,3.75,3
30,2.7,24,"F",4.25,2.75,3.75
27,3.9,28,"M",4,2.33333333333333,2.625
29,3.4,30,"M",4,2.41666666666667,2.375
31,2.7,24,"F",4.375,3,3.625
37,2.3,9,"F",4,2.41666666666667,2.75
26,3.7,26,"F",3.75,2.83333333333333,1.75
26,4.4,32,"F",4.5,3.16666666666667,3.25
30,4.1,32,"M",4.125,3,4
33,3.7,33,"F",3.75,2,3.625
33,2.5,29,"F",3.25,3.5,2.875
28,3,30,"M",3.5,3.75,3
26,3.4,19,"M",4.875,2.5,1.625
27,3.2,23,"F",3.75,2.08333333333333,3.25
25,2,19,"F",3.125,2.41666666666667,3.5
31,2.4,12,"F",3.625,2.58333333333333,3
20,4.2,10,"M",4.5,1.58333333333333,3.25
39,1.6,11,"F",4.25,2.83333333333333,1.875
38,3.1,20,"M",3.875,1.83333333333333,4.375
24,3.8,26,"M",3.5,2.41666666666667,3.625
26,3.8,31,"M",2.75,3.25,2.5
25,3.3,20,"M",3.125,3.41666666666667,1.25
30,1.7,23,"F",4.125,3.41666666666667,4
25,2.5,12,"F",2.875,3.16666666666667,3
30,3.2,24,"M",3.375,3.5,2.5
48,3.5,17,"F",4.125,2.66666666666667,4.875
24,3.2,29,"F",3.875,2.41666666666667,5
40,4.2,23,"F",4.75,3.58333333333333,4.375
25,3.1,28,"M",3.875,2.08333333333333,3.25
23,3.9,31,"F",3.25,3.75,4
25,1.9,23,"F",4.125,2.91666666666667,3.125
23,2.1,25,"F",2.75,2.91666666666667,2.5
